number,team,game_date,game_id,timestamp,pitcher,batter,called_pitch,called_location,result,strike_type,strike_spot,ball_detail,in_play_outcome,count_before,count_after,batter_outcome
"79","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:19:56.292Z","Emery","23","Drop","Down","Ball","","","Right spot · called ball","","1-1","2-1",""
"80","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:20:11.993Z","Emery","23","Fastball","In","Strike","Looking","Hit spot","","","2-1","2-2",""
"81","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:20:35.999Z","Emery","23","Fastball","In","In play","","","","Hit","2-2","2-2","Hit"
"82","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:21:22.274Z","Emery","24","Fastball","Up / Out","Strike","Looking","Hit spot","","","0-0","0-1",""
"83","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:21:44.043Z","Emery","24","Change-up","Middle","Foul","","","","","0-1","0-2",""
"84","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:22:22.171Z","Emery","24","Fastball","Out","Ball","","","Right spot · called ball","","0-2","1-2",""
"85","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:22:36.360Z","Emery","24","Fastball","In","Foul","","","","","1-2","1-2",""
"86","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:23:02.837Z","Emery","24","Change-up","Middle","In play","","","","Out","1-2","1-2","Out"
"87","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:23:36.582Z","Emery","25","Fastball","In","Ball","","","Missed spot","","0-0","1-0",""
"88","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:24:10.255Z","Emery","25","Fastball","Middle","Ball","","","Right spot · called ball","","1-0","2-0",""
"89","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:24:26.391Z","Emery","25","Fastball","In","Ball","","","Missed spot","","2-0","3-0",""
"90","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:24:45.309Z","Emery","25","Fastball","Middle","Strike","Looking","Hit spot","","","3-0","3-1",""
"91","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:25:04.953Z","Emery","25","Fastball","Middle","Foul","","","","","3-1","3-2",""
"92","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:25:31.588Z","Emery","25","Fastball","Middle","Foul","","","","","3-2","3-2",""
"93","Tyx","2026-09-19","game-mu92wxki-xp2epo","2026-09-19T19:26:00.782Z","Emery","25","Fastball","Middle","Strike","Looking","Hit spot","","","3-2","3-3","Strikeout"
